Week,Trend
11/18/2012,47
11/25/2012,42
12/2/2012,41
12/9/2012,42
12/16/2012,42
12/23/2012,50
12/30/2012,41
1/6/2013,36
1/13/2013,34
1/20/2013,35
1/27/2013,34
2/3/2013,33
2/10/2013,33
2/17/2013,33
2/24/2013,31
3/3/2013,31
3/10/2013,30
3/17/2013,31
3/24/2013,30
3/31/2013,30
4/7/2013,29
4/14/2013,28
4/21/2013,29
4/28/2013,29
5/5/2013,28
5/12/2013,28
5/19/2013,28
5/26/2013,28
6/2/2013,28
6/9/2013,42
6/16/2013,30
6/23/2013,30
6/30/2013,29
7/7/2013,30
7/14/2013,29
7/21/2013,30
7/28/2013,31
8/4/2013,31
8/11/2013,32
8/18/2013,31
8/25/2013,31
9/1/2013,33
9/8/2013,71
9/15/2013,52
9/22/2013,42
9/29/2013,36
10/6/2013,34
10/13/2013,33
10/20/2013,48
10/27/2013,39
11/3/2013,35
11/10/2013,36
11/17/2013,36
11/24/2013,42
12/1/2013,35
12/8/2013,34
12/15/2013,35
12/22/2013,42
12/29/2013,36
1/5/2014,33
1/12/2014,30
1/19/2014,30
1/26/2014,31
2/2/2014,28
2/9/2014,28
2/16/2014,28
2/23/2014,29
3/2/2014,28
3/9/2014,28
3/16/2014,27
3/23/2014,27
3/30/2014,26
4/6/2014,26
4/13/2014,26
4/20/2014,28
4/27/2014,28
5/4/2014,27
5/11/2014,26
5/18/2014,25
5/25/2014,26
6/1/2014,33
6/8/2014,27
6/15/2014,26
6/22/2014,26
6/29/2014,26
7/6/2014,27
7/13/2014,27
7/20/2014,28
7/27/2014,28
8/3/2014,28
8/10/2014,28
8/17/2014,28
8/24/2014,31
8/31/2014,33
9/7/2014,100
9/14/2014,51
9/21/2014,47
9/28/2014,39
10/5/2014,35
10/12/2014,42
10/19/2014,40
10/26/2014,36
11/2/2014,35
11/9/2014,34
11/16/2014,34
11/23/2014,39
11/30/2014,34
12/7/2014,34
12/14/2014,34
12/21/2014,38
12/28/2014,35
1/4/2015,31
1/11/2015,30
1/18/2015,29
1/25/2015,30
2/1/2015,29
2/8/2015,28
2/15/2015,29
2/22/2015,28
3/1/2015,29
3/8/2015,50
3/15/2015,33
3/22/2015,30
3/29/2015,30
4/5/2015,35
4/12/2015,32
4/19/2015,33
4/26/2015,34
5/3/2015,31
5/10/2015,29
5/17/2015,29
5/24/2015,29
5/31/2015,30
6/7/2015,35
6/14/2015,30
6/21/2015,32
6/28/2015,37
7/5/2015,34
7/12/2015,34
7/19/2015,33
7/26/2015,31
8/2/2015,32
8/9/2015,32
8/16/2015,32
8/23/2015,33
8/30/2015,32
9/6/2015,63
9/13/2015,41
9/20/2015,43
9/27/2015,40
10/4/2015,37
10/11/2015,36
10/18/2015,35
10/25/2015,36
11/1/2015,35
11/8/2015,35
11/15/2015,34
11/22/2015,38
11/29/2015,35
12/6/2015,36
12/13/2015,35
12/20/2015,42
12/27/2015,38
1/3/2016,33
1/10/2016,30
1/17/2016,30
1/24/2016,31
1/31/2016,30
2/7/2016,29
2/14/2016,31
2/21/2016,30
2/28/2016,29
3/6/2016,28
3/13/2016,28
3/20/2016,44
3/27/2016,33
4/3/2016,31
4/10/2016,29
4/17/2016,28
4/24/2016,30
5/1/2016,28
5/8/2016,28
5/15/2016,28
5/22/2016,28
5/29/2016,28
6/5/2016,27
6/12/2016,31
6/19/2016,28
6/26/2016,27
7/3/2016,28
7/10/2016,30
7/17/2016,29
7/24/2016,30
7/31/2016,29
8/7/2016,28
8/14/2016,28
8/21/2016,29
8/28/2016,32
9/4/2016,66
9/11/2016,46
9/18/2016,42
9/25/2016,39
10/2/2016,36
10/9/2016,35
10/16/2016,34
10/23/2016,40
10/30/2016,35
11/6/2016,33
11/13/2016,34
11/20/2016,42
11/27/2016,36
12/4/2016,34
12/11/2016,36
12/18/2016,38
12/25/2016,41
1/1/2017,34
1/8/2017,32
1/15/2017,30
1/22/2017,30
1/29/2017,30
2/5/2017,29
2/12/2017,29
2/19/2017,29
2/26/2017,29
3/5/2017,28
3/12/2017,28
3/19/2017,32
3/26/2017,31
4/2/2017,29
4/9/2017,29
4/16/2017,28
4/23/2017,28
4/30/2017,29
5/7/2017,28
5/14/2017,28
5/21/2017,27
5/28/2017,28
6/4/2017,35
6/11/2017,30
6/18/2017,30
6/25/2017,30
7/2/2017,29
7/9/2017,30
7/16/2017,30
7/23/2017,31
7/30/2017,32
8/6/2017,31
8/13/2017,31
8/20/2017,31
8/27/2017,31
9/3/2017,31
9/10/2017,67
9/17/2017,43
9/24/2017,39
10/1/2017,37
10/8/2017,34
10/15/2017,34
10/22/2017,37
10/29/2017,38
11/5/2017,39
